,Player,stat,lower_iqr,median,mean,higher_iqr
6947,Joe Vitale\vitaljo01,pim_gp,-190629.10432852953,415.3631722769226,58754749056.90086,33627479.61658857
6948,Charles Linglet\linglch01,hits_gp,0.0,0.0,0.0,0.0
6949,Charles Linglet\linglch01,even_g_gp,0.0,0.0,0.0,0.0
6950,Charles Linglet\linglch01,blocks_gp,0.0,0.0,0.0,0.0
6951,Charles Linglet\linglch01,pp_a_gp,0.0,0.0,0.0,0.0
6952,Charles Linglet\linglch01,pp_g_gp,0.0,0.0,0.0,0.0
6953,Charles Linglet\linglch01,even_a_gp,0.0,0.0,0.0,0.0
6954,Charles Linglet\linglch01,fow_perc,0.0,0.0,0.0,0.0
6955,Charles Linglet\linglch01,sh_perc,0.0,0.0,0.0,0.0
6956,Charles Linglet\linglch01,pim_gp,0.0,0.0,0.0,0.0
6957,Damon Severson\severda01,hits_gp,0.21065196835919686,0.6218631519666061,1.339881285976363,1.7123279147592818
6958,Damon Severson\severda01,even_g_gp,0.10430670086687216,0.11675070509995922,0.11792927155464325,0.13062020478501063
6959,Damon Severson\severda01,blocks_gp,0.5639909409305895,0.7747233655503332,0.8463982788079859,1.075531208468624
6960,Damon Severson\severda01,pp_a_gp,0.04599438934695084,0.05172597045565097,0.05250068469786424,0.05850309048430223
6961,Damon Severson\severda01,pp_g_gp,0.0,0.0,0.0,0.0
6962,Damon Severson\severda01,even_a_gp,0.1278828379027181,0.1429108123085147,0.1442275625153351,0.1593855844559015
6963,Damon Severson\severda01,fow_perc,0.0,0.0,0.0,0.0
6964,Damon Severson\severda01,sh_perc,0.06979080969842245,0.07439074602213872,0.07465398096809389,0.0793295880171412
6965,Damon Severson\severda01,pim_gp,0.3799516018262713,0.5132047617441956,0.5507647337219522,0.6910962244104437
6966,Travis Konecny\konectr01,hits_gp,1.0081451981626384,1.17234981765794,1.1956468442473516,1.3659903801314017
6967,Travis Konecny\konectr01,even_g_gp,0.21611958478402876,0.270920862241598,0.2824634814007446,0.33922099767941627
6968,Travis Konecny\konectr01,blocks_gp,0.3982405360078058,0.5684190885008751,0.6364093793134367,0.8182745203092242
6969,Travis Konecny\konectr01,pp_a_gp,0.02434260711015898,0.02468048684505741,0.02468572590873985,0.025024064852963386
6970,Travis Konecny\konectr01,pp_g_gp,0.01187971538303845,0.012357170030864013,0.012365151220257543,0.012838953941069294
6971,Travis Konecny\konectr01,even_a_gp,0.24933444053249637,0.25919639945130696,0.25957836486922836,0.26960090593180364
6972,Travis Konecny\konectr01,fow_perc,0.0,0.0,0.0,0.0
6973,Travis Konecny\konectr01,sh_perc,0.12562403642260314,0.1347436183607178,0.13516169577073445,0.14421970323969036
6974,Travis Konecny\konectr01,pim_gp,0.46877068489729906,0.5570847819480805,0.5694976862406692,0.6604536033059883
6975,Martin Cibak\cibakma01,hits_gp,0.0,0.0,0.0,0.0
6976,Martin Cibak\cibakma01,even_g_gp,0.030730580834875922,0.030769410377077394,0.03076950656645477,0.030808370683673113
6977,Martin Cibak\cibakma01,blocks_gp,0.0,0.0,0.0,0.0
6978,Martin Cibak\cibakma01,pp_a_gp,0.0,0.0,0.0,0.0
6979,Martin Cibak\cibakma01,pp_g_gp,0.0,0.0,0.0,0.0
6980,Martin Cibak\cibakma01,even_a_gp,0.0901331605979286,0.0924022583192127,0.09246258495306359,0.09474515834672105
6981,Martin Cibak\cibakma01,fow_perc,0.0,0.0,0.0,0.0
6982,Martin Cibak\cibakma01,sh_perc,0.03972341599052513,0.04001117424925126,0.04001398901046794,0.040306034025288796
6983,Martin Cibak\cibakma01,pim_gp,0.27494003290718905,0.32976297927267934,0.3379199229521316,0.39386864947758143
6984,John McCarthy\mccarjo01,hits_gp,0.4405160522110123,0.6375368303812576,0.7079571044505677,0.9035787849494764
6985,John McCarthy\mccarjo01,even_g_gp,0.026767107415636083,0.02769534173969783,0.027711335323137215,0.0286267424559621
6986,John McCarthy\mccarjo01,blocks_gp,0.233421923217029,0.5894308668107089,1.1283400560508252,1.3956400967730025
6987,John McCarthy\mccarjo01,pp_a_gp,0.0,0.0,0.0,0.0
6988,John McCarthy\mccarjo01,pp_g_gp,0.0,0.0,0.0,0.0
6989,John McCarthy\mccarjo01,even_a_gp,0.02679316202412006,0.0277343131763785,0.027767254076038965,0.028714173197386596
6990,John McCarthy\mccarjo01,fow_perc,0.4299666057409338,0.5146225355090096,0.5299202423326724,0.619641933859273
6991,John McCarthy\mccarjo01,sh_perc,0.019744702619073008,0.02048459162751391,0.020507430272576094,0.02125198593040196
6992,John McCarthy\mccarjo01,pim_gp,-4.119481215687615e-05,0.03955731233471329,0.1070735900826897,0.13563890794414316
6993,Raphael Diaz\diazra01,hits_gp,0.325385272524735,0.41640372976637113,0.43705049100327503,0.5312645611927511
6994,Raphael Diaz\diazra01,even_g_gp,0.017202442206475085,0.017760961118688287,0.017791279107639422,0.0183632143863331
6995,Raphael Diaz\diazra01,blocks_gp,0.25777381022072315,0.6358569378850394,1.2126693816309104,1.676600372463177
6996,Raphael Diaz\diazra01,pp_a_gp,0.04231854443677694,0.06048109897806382,0.06675161115009418,0.08621061885299067
6997,Raphael Diaz\diazra01,pp_g_gp,0.0,0.0,0.0,0.0
6998,Raphael Diaz\diazra01,even_a_gp,0.029185844725655528,0.03462899201703062,0.035426033008936875,0.04098057841596005
6999,Raphael Diaz\diazra01,fow_perc,0.0,0.0,0.0,0.0
